"YEAR","JURISDICTION","LOCATION","FINES (Sum)"
2023,"ACT","Major Cities of Australia",71961
2023,"NSW","Inner Regional Australia",77812
2023,"NSW","Major Cities of Australia",70915
2023,"NSW","Outer Regional Australia",23054
2023,"NSW","Remote Australia",1676
2023,"NSW","Very Remote Australia",242
2023,"VIC","Inner Regional Australia",222291
2023,"VIC","Major Cities of Australia",1027996
2023,"VIC","Outer Regional Australia",29990
2023,"VIC","Remote Australia",369
2024,"ACT","Major Cities of Australia",68846
2024,"NSW","Inner Regional Australia",80803
2024,"NSW","Major Cities of Australia",77304
2024,"NSW","Outer Regional Australia",23226
2024,"NSW","Remote Australia",2037
2024,"NSW","Very Remote Australia",191
2024,"SA","Inner Regional Australia",35588
2024,"SA","Major Cities of Australia",120070
2024,"SA","Outer Regional Australia",21969
2024,"SA","Remote Australia",3505
2024,"SA","Very Remote Australia",1867
2024,"VIC","Inner Regional Australia",72054
2024,"VIC","Major Cities of Australia",551219
2024,"VIC","Outer Regional Australia",11546
2024,"VIC","Remote Australia",8
